SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2507,G0QX-LHXX 667,Cancel,804234,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTSPREF,25-11-2015 12:27:59,PMORASAK,,,,,Complete,Rohan,,
2508,G0QX-LHXX 668,Cancel,804234,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTSPREF,25-11-2015 12:28:05,PMORASAK,,,,,Complete,Rohan,,
2509,G0QX-LHXX 669,Cancel,804234,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTSPREF,25-11-2015 12:28:10,PMORASAK,,,,,Complete,Rohan,,
2510,G0QX-LHXX 670,Cancel,804234,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTSPREF,25-11-2015 12:28:16,PMORASAK,,,,,Complete,Rohan,,
2511,G0QX-LHXX 650,Cancel,804234,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTSPREF,25-11-2015 12:28:21,PMORASAK,,,,,Complete,Rohan,,
2512,SEBX-SVQX 16S0003,Provide,803869,31906 - TELSTRA TELECOMMUNICATIONS PVT LTD,GSM,25-11-2015 12:31:42,SANDEEPJ,,,,11 Dec 15,Complete,Saurabh.A,,
2513,8TUX-S9UX VC4S801,Provide,791855,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,25-11-2015 14:45:41,AVIPATIL,PM,DT awaited,,9 Dec 15,Complete,Rahul,,
2514,HDBX-HDBX SPVLAN0017,Provide,806270,27048 - VERIZON COMMUNICATIONS INDIA PVT LTD,GLOBETH,25-11-2015 14:49:51,YSOMI,,,,,Complete,Abhilasha,26 Nov 15,
2515,NC8X-NYYX VC4S002,Cancel,806161,881 - BELGACOM INTERNATIONAL CARRIER SERVICES,VTS,26-11-2015 05:41:14,HMEKALA,,,,,Complete,Rohan,,
2516,FEHX-FV0X OF002,Cancel,806620,18775 - EXATEL S.A.,GLOBETH,26-11-2015 06:30:19,PRATPAND,SDCNOC,,16th Jan 2016,,Complete,Amol,,
2517,CKDX-KV8X 1542.94NM002_,Provide,806386,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,26-11-2015 08:07:30,ASHANDHA,,,,3 Dec 15,Complete,Saurabh.A,,
2518,9MDX-NJYX 100M0001,Reroute,806624,27770 - MINDTREE LTD,GLOBETH,26-11-2015 09:00:39,AKARMUR,,,,,Complete,Amol,,
2519,SVWX-XC4X NP1,Reroute,806030,31847 - EXL SERVICE.COM LLC,GSM,26-11-2015 10:40:33,MNIBRAD,,,,,Complete,Amol,,
2520,529X-UZNX 100M0001,Provide,806187,23450 - AMADEUS DATA PROCESSING GMBH  ,GLOBETH,26-11-2015 11:22:31,YSOMI,,,,,Complete,Amol,,
2521,IH4X-S9UX VC3S0037,Cancel,806237,25700 - TATA - BB ETHERNET.,*N/A*,26-11-2015 11:58:10,AVIPATIL,,,,,Complete,Abhilasha,,
2522,F2CX-FNMX SPVLAN0003,Provide,806188,23450 - AMADEUS DATA PROCESSING GMBH  ,GLOBETH,26-11-2015 12:40:21,YSOMI,,,,,Complete,Amol,,
2523,IH4X-SVWX SPVLAN0027,Provide,805661,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,26-11-2015 14:26:58,AVIPATIL,,,,,Pending,Amol,,
2524,C36X-IH4X 1107PISID10000021,Provide,804545,25700 - TATA - BB ETHERNET.,*N/A*,26-11-2015 14:41:35,PPRABHUD,BOP,No Role,,,,,,
2525,IH4X-IM6X 1413ISID7048,Provide,806799,29668 - NEUTRONA NETWORKS INTERNATIONAL LLC.,GLOBETH,26-11-2015 14:57:25,PPRABHUD,,,,,Complete,Amol,,
2526,EQLX-LVWX 193.700 THZ001,Provide,802096,10677 - TATA COMMUNICATIONS (AMERICA) INC.,*N/A*,26-11-2015 15:03:40,KKHADE,BOP,No role ,,,,,,
2527,IM6X-IM6X BVID0012UP,Provide,806488,25700 - TATA - BB ETHERNET.,*N/A*,26-11-2015 15:09:02,AVIPATIL,,,,,Complete,Amol,,
2528,NW8X-NW8X VC4S1A15,Provide,805138,918 - TATA COMMUNICATIONS (CANADA) LTD.,*N/A*,27-11-2015 06:49:26,RCHAKRAD,,,,4 Dec 15,Complete,Saurabh.A,,
2529,SVQX-SVQX OTS544,Cancel,805535,20474 - TATA COMMUNICATIONS INTERNATIONAL PTE. LTD,*N/A*,27-11-2015 06:54:54,AVIPATIL,,,,,Complete,Amol,,
2530,SV0X-SV1X SPVLAN0008,Cancel,805830,30486 - PRINCIPAL GLOBAL SERVICES PVT LTD,GLOBETH,27-11-2015 08:24:01,PRATPAND,SDCNOC,,,,Complete,Amol,,
2531,K5TX-NYYX 30N018,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:18:44,PMORASAK,,,,,Complete,Rohan,,
2532,K5TX-NYYX 30N019,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:20:28,PMORASAK,,,,,Complete,Rohan,,
2533,K5TX-NYYX 30N020,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:22:15,PMORASAK,,,,,Complete,Rohan,,
2534,K5TX-NYYX 30N021,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:23:59,PMORASAK,,,,,Complete,Rohan,,
2535,K5TX-NYYX 30N025,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:25:47,PMORASAK,,,,,Complete,Rohan,,
2536,K5TX-NYYX 30N022,Cancel,759834,880 - TELIASONERA INTERNATIONAL CARRIER GERMANY GM,VTS,27-11-2015 17:27:36,PMORASAK,,,,,Complete,Rohan,,
