SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2607,N9YX-YL1X 30N0015,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:04:32,ANVERMA,,,,,Complete,Rohan,,
2608,495X-SVWX NP1,Provide,763383,30004 - CHINA BROADBAND COMMUNICATIONS (HONG KONG),GSM,02-12-2015 07:09:02,MNIBRAD,,,,3 Dec 15,Complete,Rahul,,
2609,GR8X-NYYX 24N001,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:02:59,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2610,GR8X-NYYX 24N002,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:03:39,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2611,GR8X-NYYX 24N003,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:03:54,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2612,GR8X-NYYX 24N008,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:04:08,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2613,GR8X-NYYX 24N005,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:04:22,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2614,GR8X-NYYX 24N006,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:04:36,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2615,GR8X-NYYX 24N007,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:04:50,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2616,GR8X-NYYX 24N004,Cancel,799206,"11786 - GRAPHNET, INC.",VTS,02-12-2015 09:05:05,PMORASAK,BOP,to be cancelled after migration,,,Pending,Abhilasha,,
2617,SVWX-SVWX 1G211,Provide,805659,918 - TATA COMMUNICATIONS (CANADA) LTD.,*N/A*,02-12-2015 09:26:44,KKHADE,,,,,Complete,Amol,,
2618,HK2X-W1UX SPVLAN0003,Cancel,806867,29176 - GOLDMAN SACHS (INDIA) SECURITIES PVT LTD,GLOBETH,02-12-2015 09:55:34,AKARMUR,,,30 Dec 99,,Complete,Amol,,
2619,FR1X-FR7X SPVLAN0021,Reroute,806854,"27595 - WELLS FARGO BANK, N.A",GLOBETH,02-12-2015 10:31:23,YSOMI,,,,,Complete,Amol,,
