order_id,1,2,3,process_type,5,plan_released_by,7,task_name,9,10,order_issued_date,11,12,13
NCCM_35284,06-12-2014 12:06,NORMAL,IN PROGRESS,BTNCCM,5,PoGawali,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-12-2014 12:08,,,
NCCM_35294,06-12-2014 19:26,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-12-2014 19:30,,,
NCCM_35409,10-12-2014 15:38,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-12-2014 15:41,,,
NCCM_35432,10-12-2014 18:40,NORMAL,IN PROGRESS,BTNCCM,5,nikhil.aru,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-12-2014 18:44,,,
NCCM_35470,11-12-2014 19:20,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,11-12-2014 19:30,,,
NCCM_35506,12-12-2014 11:44,NORMAL,IN PROGRESS,BTNCCM,5,hemant.pawar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-12-2014 00:00,,,
NCCM_35408,10-12-2014 15:34,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-12-2014 00:00,,,
NCCM_35592,15-12-2014 16:58,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-12-2014 17:00,,,
NCCM_35594,15-12-2014 17:38,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-12-2014 17:46,,,
NCCM_35526,12-12-2014 19:03,NORMAL,IN PROGRESS,BTNCCM,5,singh.amit,PMG,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,16-12-2014 16:14,,,
NCCM_35726,18-12-2014 16:54,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-12-2014 16:59,,,
NCCM_35774,19-12-2014 13:17,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-12-2014 13:20,,,
NCCM_35878,20-12-2014 16:21,NORMAL,IN PROGRESS,BTNCCM,5,PoGawali,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-12-2014 16:24,,,
NCCM_35968,23-12-2014 18:51,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-12-2014 18:57,,,
NCCM_36065,27-12-2014 18:16,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-12-2014 18:21,,,
