tiger_id,viznetM6id,gam_id,mrc_converted,nrc_converted,program_manager,evolve_status,customer_name,provisioner_name,service_type,inbasket_date
799271,,799271,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,11-12-2015 13:42:13
812593,,812593,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,29-01-2016 10:57:49
798510,,798510,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,24-11-2015 12:36:20
791632,,791632,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,10-12-2015 08:12:46
810014,,810014,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,17-02-2016 12:24:39
795490,,795490,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,25-02-2016 11:21:17
817105,,817105,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,18-03-2016 10:33:12
810014,,810014,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,17-02-2016 12:25:22
810014,,810014,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,17-02-2016 12:25:25
819928,,819928,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,21-03-2016 10:12:43
810014,,810014,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,17-02-2016 12:40:00
799271,,799271,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,11-12-2015 15:04:34
812593,,812593,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,29-01-2016 10:59:05
791632,,791632,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,10-12-2015 08:13:20
798510,,798510,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,24-11-2015 12:35:17
798416,,798416,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,11-12-2015 09:58:39
798416,,798416,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,11-12-2015 10:00:05
795490,,795490,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,25-02-2016 08:25:22
819635,,819635,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,18-03-2016 15:06:40
799273,,799273,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,14-12-2015 14:02:11
798510,,798510,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,24-11-2015 12:36:04
815994,,815994,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,18-03-2016 07:13:15
802412,,802412,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,03-12-2015 11:08:37
735847,,735847,,,,,25700 - TATA - BB ETHERNET.,AKARMUR,*N/A*,31-05-2014 07:33:19
819367,,819367,,,,,25700 - TATA - BB ETHERNET.,KKHADE,*N/A*,22-03-2016 13:15:28
819367,,819367,,,,,25700 - TATA - BB ETHERNET.,KKHADE,*N/A*,22-03-2016 13:15:13
799271,,799271,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,11-12-2015 13:35:46
819367,,819367,,,,,25700 - TATA - BB ETHERNET.,KKHADE,*N/A*,22-03-2016 13:14:40
799273,,799273,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,14-12-2015 14:01:09
812980,,812980,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,28-01-2016 07:59:43
799274,,799274,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,16-12-2015 08:19:45
791632,,791632,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,10-12-2015 08:13:34
798510,,798510,,,,,25700 - TATA - BB ETHERNET.,AVIPATIL,*N/A*,24-11-2015 12:35:10
817594,,817594,,,,,25700 - TATA - BB ETHERNET.,ASHANDHA,*N/A*,22-03-2016 08:38:44
810548,,810548,,,,,25840 - BIRLASOFT (INDIA) LIMITED,RNISTANE,GSM,15-03-2016 14:23:35
808885,,808885,,,,,25862 - CHINA TELECOM GLOBAL LIMITED,YSOMI,GLOBETH,21-12-2015 13:51:52
654946,,654946,,,,,25914 - TELSTRA CORPORATION LIMITED,KAVISRIN,GLOBETH,29-08-2012 07:02:06
814623,,814623,,,,,27759 - WEST INDIAN OCEAN CABLE COMPANY (WIOCC),ASATPUTE,GSM,09-02-2016 10:19:42
814623,,814623,,,,,27759 - WEST INDIAN OCEAN CABLE COMPANY (WIOCC),ASATPUTE,GSM,09-02-2016 10:19:01
815202,,815202,,,,,24470 - MASERGY COMMUNICATIONS INC.,YSOMI,GLOBETH,22-03-2016 14:46:22
818068,,818068,,,,,26869 - TATA CONSULTANCY SERVICES LIMITED,MNIBRAD,GSM,10-03-2016 07:13:44
815711,,815711,,,,,26869 - TATA CONSULTANCY SERVICES LIMITED,BMORE,GSM,23-02-2016 14:20:02
675827,,675827,,,,,26152 - SPRINTLINK UK LIMITED,RBHARGAV,GSM,17-07-2013 11:45:23
799187,,799187,,,,,"18788 - WILTEL COMMUNICATIONS, LLC",PMORASAK,VTS,01-12-2015 09:47:43
799187,,799187,,,,,"18788 - WILTEL COMMUNICATIONS, LLC",PMORASAK,VTS,01-12-2015 09:46:37
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 15:22:13
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 15:29:10
817180,,817180,,,,,18907 - IT GROUP (PLANNED OUTAGES),PRATPAND,*N/A*,02-03-2016 08:47:44
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 12:06:17
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 12:06:08
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 12:01:34
807012,,807012,,,,,18907 - IT GROUP (PLANNED OUTAGES),AVIPATIL,*N/A*,18-12-2015 12:49:55
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 15:24:00
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 11:54:01
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 15:24:46
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 15:03:36
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 14:47:24
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 14:59:29
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 14:59:19
731031,,731031,,,,,18907 - IT GROUP (PLANNED OUTAGES),PMANDAL,*N/A*,27-06-2014 11:56:31
809862,,809862,,,,,27278 - PFIZER INC,RNISTANE,DIA,17-03-2016 09:29:00
815918,,815918,,,,,7248 - IBM DAKSH BUSINESS PROCESS SERVICES PRIVATE,PMORASAK,ENTVTS,18-02-2016 13:21:23
815918,,815918,,,,,7248 - IBM DAKSH BUSINESS PROCESS SERVICES PRIVATE,PMORASAK,ENTVTS,18-02-2016 13:30:10
815918,,815918,,,,,7248 - IBM DAKSH BUSINESS PROCESS SERVICES PRIVATE,PMORASAK,ENTVTS,18-02-2016 13:22:09
815918,,815918,,,,,7248 - IBM DAKSH BUSINESS PROCESS SERVICES PRIVATE,PMORASAK,ENTVTS,18-02-2016 13:28:26
