SrNo,nims_id,CRAMMER_NAME,circuit_action_type,tiger_id,customer_name,service_type,VIZNET_ID_,provisioner_name,order_issued_date
27,27GX-IT3X 24N001,LOSA/27GX/TGBUS/USA*ORCX/IT3X/INALI/USA 24N0002,Cancel,813798,25269 - ITC INFOTECH INDIA LIMITED,GSM,,RNISTANE,06-02-2016 10:21:46
28,2TVX-TV3X OMS001,TOKY/TV3X/VSNLJ/JPN*TOKY/2TVX/VSNLJ/JPN OMS0001,Provide,817446,20744 - TATA COMMUNICATIONS (JAPAN) K.K.,*N/A*,,KKHADE,18-03-2016 09:24:46
29,TV2X-TV3X DWDM001_EVEN_GT19,TOKY/TV2X/VSNLJ/JPN*TOKY/TV3X/VSNLJ/JPN OMS0003,Provide,817446,20744 - TATA COMMUNICATIONS (JAPAN) K.K.,*N/A*,,KKHADE,18-03-2016 09:24:06
30,NDLX-NV7X NV7-ZJZ DL78HROAMB,NDLH/NDLX/VSNL/IND*NDLH/NV7X/VSNL/IND 64K0060,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:38:57
31,NDLX-NV7X NV7-ZJZ DL78HROAMA,NDLH/NDLX/VSNL/IND*NDLH/NV7X/VSNL/IND 64K0059,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:38:43
32,MMBX-MMBX VMU-ZJY DL71HROAMA,MUMB/MMBX/VSNL/IND*MUMB/MMBX/VSNL/IND 64K0001,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:43:05
33,NDLX-NV7X NV7-ZJZ DL84HROAMB,NDLH/NDLX/VSNL/IND*NDLH/NV7X/VSNL/IND 64K0064,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:40:35
34,MMBX-MMBX VMU-ZJZ DL75HROAMB,MUMB/MMBX/VSNL/IND*MUMB/MMBX/VSNL/IND 64K0030,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:52:34
35,MMBX-MMBX VMU-ZJZ DL75HROAMA,MUMB/MMBX/VSNL/IND*MUMB/MMBX/VSNL/IND 64K0029,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:52:19
36,MMBX-MMBX VMU-ZJY DL78HROAMB,MUMB/MMBX/VSNL/IND*MUMB/MMBX/VSNL/IND 64K0016,Provide,800001,18504 - IDEA CELLULAR LIMITED,VTS,,ANVERMA,05-12-2015 12:47:26
37,F5VX-MTTX 24N0001,FTWH/F5VX/VERIS/USA*MTRL/MTTX/TGB/CAN 24N0002,Provide,810325,"18595 - VERISIGN, INC.",VTS,,RCHAKRAD,21-03-2016 09:29:30
38,H99X-H99X SPVLAN0039,HNKG/H99X/SANCH/CHN*HNKG/H99X/SANCH/CHN SPVLAN0039,Provide,798866,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-12-2015 14:58:19
39,IH4X-IH4X 10G1003,SING/IH4X/VSNLS/SGP*SING/IH4X/VSNLS/SGP 10G0005,Cancel,804397,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,27-02-2016 11:41:54
40,N0VX-NJYX BVID4050,NWRK/NJYX/TGBUS/USA*NYKC/N0VX/TGBUS/USA BVID0001,Provide,798503,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,17-11-2015 11:59:38
41,L78X-WYNX BE0099/AOVL,LNDN/L78X/TGBUK/GBR*MARS/WYNX/TGFCE/FCE CEVLAN0003,Provide,798340,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,06-01-2016 15:35:54
42,CT8X-TV2X BVID1996UP,CHIG/CT8X/TGBUS/USA*TOKY/TV2X/VSNLJ/JPN BVID0002,Cancel,817606,25700 - TATA - BB ETHERNET.,*N/A*,,ASHANDHA,11-03-2016 07:57:25
43,P1VX-SV1X VC3S026,PLAL/P1VX/TGBUS/USA*SNCL/SV1X/TGBUS/USA VC3S0029,Cancel,812593,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,29-01-2016 10:58:27
44,P1VX-SV1X VC3S007,PLAL/P1VX/TGBUS/USA*SNCL/SV1X/TGBUS/USA VC3S0010,Cancel,812593,25700 - TATA - BB ETHERNET.,*N/A*,,AVIPATIL,29-01-2016 10:58:16
45,KDBX-P44X BVID0701B1,BGLR/KDBX/VKDCO/IND*PUNE/P44X/SANCH/IND BVID0018,Provide,735847,25700 - TATA - BB ETHERNET.,*N/A*,,AKARMUR,31-05-2014 07:39:01
46,P44X-W1UX BVID0701B1,MUMB/W1UX/SANCH/IND*PUNE/P44X/SANCH/IND BVID0058,Provide,735847,25700 - TATA - BB ETHERNET.,*N/A*,,AKARMUR,31-05-2014 07:38:45
