nccm_id,Scenario Type,Order Type,1,2,3,4,m6viznet_service_id,6,7,8,9,10,11,order_issued_date
NCCM_51363,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,07-12-2015 19:15,No,,Provisioning-Network,Provisioning-Network,07-12-2015 19:51
NCCM_51364,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,091BENG623009499504,No,08-12-2015 07:49,No,,CM-IP-Enterprise,CM-IP-Enterprise,08-12-2015 07:50
NCCM_51365,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,091BENG623009499539,No,08-12-2015 07:50,No,,CM-IP-Enterprise,CM-IP-Enterprise,08-12-2015 07:52
NCCM_51366,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:09,No,,Provisioning-Network,Provisioning-Network,22-12-2015 05:31
NCCM_51367,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,hemant.pawar,Provisioning-Network,,No,08-12-2015 10:25,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:22
NCCM_51368,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:33,No,,Provisioning-Network,Provisioning-Network,08-12-2015 11:22
NCCM_51369,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:45,No,,Provisioning-Network,Provisioning-Network,08-12-2015 13:34
NCCM_51370,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,ISInamda,Provisioning-Network,,No,08-12-2015 11:01,No,,CM-Transport,CM-Transport,08-12-2015 11:03
NCCM_51371,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 11:04,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:44
NCCM_51373,CEASE,BTNCCM,Ceasing,UndoNCCM_BM_Tx_UpdateCramerCLR,ISInamda,Provisioning-Network,,No,08-12-2015 11:24,No,ISINAMDA,Provisioning-Network,Provisioning-Network,08-12-2015 11:26
NCCM_51373,CEASE,BTNCCM,Ceasing,UndoNCCM_BM_Tx_ScheduleBulkMigration,ISInamda,Provisioning-Network,,No,08-12-2015 11:24,No,ISINAMDA,Provisioning-Network,Provisioning-Network,08-12-2015 11:27
NCCM_51372,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 11:22,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:53
NCCM_51375,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 12:16,No,,Provisioning-Network,Provisioning-Network,08-12-2015 13:07
NCCM_51376,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091MUMB1143005693400,No,08-12-2015 12:48,No,,,,
NCCM_51377,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,KJamdade,PMG,091MUMB1143005693400,No,08-12-2015 12:49,No,,PMG,PMG,08-12-2015 12:49
NCCM_51378,CEASE,PGICCNCCM,Ceased,,paresh.pawar,SOC-IP,091BENG030003433461,No,08-12-2015 12:51,No,,,,
NCCM_51381,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143005693400,No,08-12-2015 12:57,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:04
NCCM_51383,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091NAVI623005939318,No,08-12-2015 13:09,No,,,,
NCCM_51382,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 13:05,No,,Provisioning-Network,Provisioning-Network,10-12-2015 11:53
NCCM_51384,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091NAVI623005939318,No,08-12-2015 13:09,No,,,,
NCCM_51386,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091NAVI623005939318,No,08-12-2015 13:12,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,17-12-2015 11:20
NCCM_51387,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143012416024,No,08-12-2015 13:18,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,16-12-2015 10:45
NCCM_51388,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB030008094734,No,08-12-2015 13:23,Yes,,Provisioning-Network,Provisioning-Network,23-03-2016 12:45
NCCM_51389,CEASE,PINCNCCM,Ceasing,UndoNCCM_PC_INC_ValidateOrder,KJamdade,,091NAVI1143011144887,No,08-12-2015 13:30,Yes,,ESOC,ESOC,19-03-2016 11:41
NCCM_51389,CEASE,PINCNCCM,Ceasing,UndoNCCM_PC_INC_RaiseCR,KJamdade,,091NAVI1143011144887,No,08-12-2015 13:30,Yes,,ESOC,ESOC,19-03-2016 11:41
NCCM_51391,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1258009374126,No,08-12-2015 13:40,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:06
NCCM_51393,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 13:42,No,,Provisioning-Network,Provisioning-Network,10-12-2015 17:51
NCCM_51394,NORMAL,PINCNCCM,IN PROGRESS,NCCM_setCLRErrorTask,KJamdade,,22294283574,No,08-12-2015 13:44,No,,Provisioning-Network,Provisioning-Network,09-12-2015 11:19
NCCM_51390,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,08-12-2015 13:36,No,,Provisioning-Network,Provisioning-Network,15-12-2015 13:31
NCCM_51395,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143008875580,No,08-12-2015 13:50,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:27
